condition,seed,rho_within_old,r_between_old,delta_op_legacy,actB,actW,loyB,loyW,CDI_xsec_sim,beta_B,beta_W,CDI_v2_sim,se_cdi,Wald,p
baseline,7,-0.1484,+0.2663,+0.4147,+0.7339,-0.5593,-0.2583,-0.5447,+0.9922,-4.8727,-4.9048,+0.0321,0.0534,0.36,0.548
dynamic,7,-0.0900,+0.6242,+0.7142,+0.8241,-0.3594,-0.4063,-0.3440,+1.2304,-7.9989,-4.7920,-3.2069,0.0861,1386.32,1.97e-303
ideal,7,+0.1093,+0.9855,+0.8762,+0.9745,+0.0162,-0.7739,+0.1592,+1.7484,-14.5771,-5.1360,-9.4411,0.1429,4364.99,0
random,7,+0.1719,+0.9896,+0.8177,+0.9816,-0.0804,-0.8611,+0.1743,+1.8427,-14.5415,-5.4294,-9.1122,0.1666,2991.15,0
baseline,11,-0.1605,+0.2530,+0.4135,+0.7272,-0.5578,-0.2533,-0.5516,+0.9805,-4.8320,-4.9564,+0.1244,0.0529,5.53,0.0187
baseline,23,-0.1621,+0.2373,+0.3995,+0.7193,-0.5598,-0.2603,-0.5468,+0.9796,-4.7670,-5.0071,+0.2401,0.0493,23.75,1.1e-06
baseline,42,-0.1444,+0.2502,+0.3946,+0.7273,-0.5644,-0.2502,-0.5429,+0.9775,-4.7977,-4.9776,+0.1799,0.0521,11.91,0.000558
