section,spec,description,N_consumers,N_obs,beta_B,SE_beta_B,beta_W,SE_beta_W,CDI,SE_CDI,Wald_chi2,p_value,boot_B,BCa_95CI_L,BCa_95CI_U,CDI_std,CDI_std_BCa_95CI_L,CDI_std_BCa_95CI_U,note,source
primary,A2_primary_W10,"REWB Mundlak OLS: entropy ~ mean_maxshare + dev, consumer-cluster SE; W=10 baseline",60423,242771,-2.9957316191056362,0.019436103005972642,-3.513151488094991,0.010950613646832847,0.5174198689893545,0.02095635483905824,609.6136971988641,1.3575967794918705e-134,2000,0.4757117730689103,0.5572581285838129,0.11319907179394374,0.104074,0.121915,Frozen primary; CDI_std BCa from task1 frozen run (seed=20260915),Task0/Task1 frozen 2026-09-15; cdi_robustness_envelope.csv spec A2
horizon,W5_coarse,Horizon profile: 5 waves (coarse),39650,136152,-2.951736649947354,0.02247474963496553,-3.6819127281749564,0.014445324837241655,0.7301760782276023,0.024858387335438013,862.7983377775429,1.2000655260656152e-189,2000,0.681146659104796,0.7785919056084357,0.15828452567345935,,,,Task3 frozen 2026-09-15; envelope spec A1
horizon,W10_baseline,Horizon profile: 10 waves (baseline = primary),60423,242771,-2.9957316191056362,0.019436103005972642,-3.513151488094991,0.010950613646832847,0.5174198689893545,0.02095635483905824,609.6136971988641,1.3575967794918705e-134,2000,0.4757117730689103,0.5572581285838129,0.11319907179394374,0.104074,0.121915,,Task3/Task0 frozen; identical to primary row
horizon,W20_fine,Horizon profile: 20 waves (fine),72166,348585,-2.9178006421285985,0.01800944727646719,-3.3504864141439574,0.00900645224448052,0.43268577201535896,0.01929488411678582,502.87596610668635,2.250202852963655e-111,2000,0.3950849364233762,0.4700106251553062,0.0966796044150875,,,,Task3 frozen 2026-09-15; envelope spec A3
audit_grid,D2_wave_FE,"Time-effects sensitivity: wave fixed effects (within-user wave index, NOT calendar FE)",60423,242771,-3.0407797174966515,0.01996848029643451,-2.2331041709172044,0.009948819867109486,-0.8076755465794472,0.02168981571572979,1386.6349561714528,1.6853550706243314e-303,2000,-0.8509088705425766,-0.7648047452811587,-0.17670006055631515,,,"Sign reversal, BCa fully below 0; disclosed as portability boundary (manuscript Section 4.4)",Task4 frozen 2026-09-15; envelope spec D2
audit_grid,D3_baseline_coupling,Baseline-coupling sensitivity (NOT causal adjustment),60423,242771,-1.5381045240508953,0.014624410414235579,-3.513151488094988,0.010950636200562065,1.9750469640440929,0.016681518235602502,14017.924125753063,0.0,2000,1.9434176539424821,2.0082700543893144,0.43209296062776,,,Sensitivity construction; beta_B attenuates as baseline absorbs between variance,Task4 frozen 2026-09-15; envelope spec D3
audit_grid,D4_lagged_outcome,Lagged-outcome dynamic sensitivity (short-panel LDV caution),60423,182348,-1.8039056779695768,0.015071633117665597,-2.3299516022879896,0.010504752286168222,0.5260459243184128,0.01591234477637392,1092.8963107315333,1.1556746458973471e-239,2000,0.493627081483383,0.5555670403366071,0.13207268960852636,,,"N_obs=182,348 (one lagged wave lost)",Task4 frozen 2026-09-15; envelope spec D4
representation,E2_brand_HHI,"Construct robustness: brand HHI = sum s^2 (reported separately, not in K)",60423,242771,-3.6565609708610416,0.03215529123023006,-3.7130354141126762,0.00943776790997007,0.05647444325163464,0.03149819176467239,3.2146424170926107,0.0729821361582567,2000,-0.003936528648656515,0.11710714928232223,0.012268840561272162,,,Point estimate positive but BCa grazes 0,Task4 frozen 2026-09-15; envelope spec E2
